Arizona Diamondbacks, 5.47, 4.86, 89, 73, 4.62
Atlanta Braves, 4.35, 3.75, 89, 73, 3.49
Baltimore Orioles, 4.85, 4.31, 91, 71, 3.94
Boston Red Sox, 4.64, 4.61, 81, 81, 4.04
Chicago Cubs, 4.54, 4.13, 83, 79, 3.78
Chicago White Sox, 3.13, 5.02, 41, 121, 4.68
Cincinnati Reds, 4.31, 4.28, 77, 85, 4.09
Cleveland Guardians, 4.40, 3.86, 92, 69, 3.61
Colorado Rockies, 4.21, 5.73, 61, 101, 5.47
Detroit Tigers, 4.21, 3.96, 86, 76, 3.61
Houston Astros, 4.60, 4.03, 88, 73, 3.74
Kansas City Royals, 4.54, 3.98, 86, 76, 3.76
Los Angeles Angels, 3.92, 4.92, 63, 99, 4.56
Los Angeles Dodgers, 5.20, 4.23, 98, 64, 3.90
Miami Marlins, 3.93, 5.19, 62, 100, 4.73
Milwaukee Brewers, 4.80, 3.96, 93, 69, 3.65
Minnesota Twins, 4.58, 4.54, 82, 80, 4.26
New York Mets, 4.74, 4.30, 89, 73, 3.96
New York Yankees, 5.03, 4.12, 94, 68, 3.74
Oakland Athletics, 3.97, 4.72, 69, 93, 4.37
Philadelphia Phillies, 4.84, 4.14, 95, 67, 3.85
Pittsburgh Pirates, 4.10, 4.56, 76, 86, 4.15
San Diego Padres, 4.69, 4.13, 93, 69, 3.86
Seattle Mariners, 4.17, 3.75, 85, 77, 3.49
San Francisco Giants, 4.28, 4.31, 80, 82, 4.10
St. Louis Cardinals, 4.15, 4.44, 83, 79, 4.03
Tampa Bay Rays, 3.73, 4.09, 80, 82, 3.77
Texas Rangers, 4.22, 4.56, 78, 84, 4.35
Toronto Blue Jays, 4.14, 4.59, 74, 88, 4.29
Washington Nationals, 4.07, 4.72, 71, 91, 4.30
League Average, 4.39, 4.39, 81, 81, 4.07
